Stofnaam	CAS-nummer	EG-nummer	Aquo-code	SIKB-id	Categorie	Compartiment	Norm	Waarde	Eenheid	Normwaardestatus.code	Normwaardestatus.omschrijving	Achtergrondconcentratie.code	Achtergrondconcentratie.omschrijving	Toelichtende voetnoot 1	Toelichtende voetnoot 2	Toelichtende voetnoot 3	Toelichtende voetnoot 4	Norm.code	Norm.omschrijving	Normsubgroup.code	Normsubgroup.omschrijving	Compartiment.code	Compartiment.omschrijving	Compartimentsubgroep.code	Compartimentsubgroep.omschrijving	Grootheid.code	Grootheid.omschrijving	Hoedanigheid.code	Hoedanigheid.omschrijving	Waardebewerkingsmethode.code 	Waardebewerkingsmethode.omschrijving	Geldigheid.begindatum	Geldigheid.einddatum	
DODMAC	107-64-2	203-508-2	DODAC	5176	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	6,2	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Normen gelden voor som van DODMAC en DHTMAC				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
DODMAC	107-64-2	203-508-2	DODAC	5176	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	6,2	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Normen gelden voor som van DODMAC en DHTMAC				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
drins som			sdrin4	2254	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk JG-MKN (totaal)	0,01	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	Som van aldrin, dieldrin, endrin en isodrin	datum van realisatie van de milieukwaliteitseis: 22 december 2015 			JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
drins som			sdrin4	2254	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk MAC-MKN (totaal)			NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	Niet van toepassing				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
DTDMAC	68783-78-8	272-207-6			Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
dysprosium	7429-91-6	231-073-9	Dy	699	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	5,39		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
dysprosium	7429-91-6	231-073-9	Dy	699	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren achtergrondconcentratie (opgelost)			BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	detectielimiet				AC	Achtergrondconcentratie	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren 	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	NVT	Niet van toepassing			
dysprosium	7429-91-6	231-073-9	Dy	699	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren achtergrondconcentratie (totaal)			BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	detectielimiet				AC	Achtergrondconcentratie	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	NVT	Niet van toepassing			
dysprosium	7429-91-6	231-073-9	Dy	699	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MTR (opgelost)	9,1	µg/l	BV	Beleidsmatig vastgesteld	EXCLAC	Exclusief achtergrondconcentratie	Bij de waarde dient de lokale achtergrondconcentratie te worden opgeteld				MTR	Maximaal toelaatbaar risiconiveau	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
dysprosium	7429-91-6	231-073-9	Dy	699	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MTR (totaal)	76	µg/l	BV	Beleidsmatig vastgesteld	EXCLAC	Exclusief achtergrondconcentratie	Bij de waarde dient de lokale achtergrondconcentratie te worden opgeteld				MTR	Maximaal toelaatbaar risiconiveau	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	P90	90-Percentiel			
