Stofnaam	CAS-nummer	EG-nummer	Aquo-code	SIKB-id	Categorie	Compartiment	Norm	Waarde	Eenheid	Normwaardestatus.code	Normwaardestatus.omschrijving	Achtergrondconcentratie.code	Achtergrondconcentratie.omschrijving	Toelichtende voetnoot 1	Toelichtende voetnoot 2	Toelichtende voetnoot 3	Toelichtende voetnoot 4	Norm.code	Norm.omschrijving	Normsubgroup.code	Normsubgroup.omschrijving	Compartiment.code	Compartiment.omschrijving	Compartimentsubgroep.code	Compartimentsubgroep.omschrijving	Grootheid.code	Grootheid.omschrijving	Hoedanigheid.code	Hoedanigheid.omschrijving	Waardebewerkingsmethode.code 	Waardebewerkingsmethode.omschrijving	Geldigheid.begindatum	Geldigheid.einddatum	
(1R,4S,5S)-1,2,3,4,5,7,7-heptachloorbicyclo[2.2.1]hept-2-een	2440-02-0		1234577HpClb	5333	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,58E-02	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof is een specifieke isomeer van heptachloornorbornene (CAS: 28680-45-7) de waarde geldt voor de som van alle heptachloornorbornenen.				MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
(pentabroomfenyl)methylacrylaat	59447-55-1	261-767-7	PeBrFyC1yacl	5240	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	8,48E-04	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(3,4-dichloorfenyl)-3-methylureum	3567-62-2	622-767-6	134DClFy3C1y	2817	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(3,4-dichloorfenyl)ureum	2327-02-8	622-620-6	134DClFyurum	2818	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	100	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-chloorfenyl)ureum	140-38-5	205-412-6	14ClFyurum	4942	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	7,2	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)-3-methylureum	34123-57-4	621-315-5	14iC3yFy3C1y	4943	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,3	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)-3-methylureum	34123-57-4	621-315-5	14iC3yFy3C1y	4943	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1-(4-isopropylfenyl)ureum	56046-17-4		14iC3yFyurum	4944	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	2,3	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,1,1-trichloor-2,2-bis(p-iodophenyl)-ethaan	3972-13-2				Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,1,1-trichloorethaan	71-55-6	200-756-3	111TClC2a	4	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	1,09		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,1,1-trichloorethaan	71-55-6	200-756-3	111TClC2a	4	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	21	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,1,1-trichloorethaan	71-55-6	200-756-3	111TClC2a	4	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	54	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,1,2,2-tetrachloorethaan	79-34-5	201-197-8	1122T4ClC2a	5	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	1,19		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,1,2,2-tetrachloorethaan	79-34-5	201-197-8	1122T4ClC2a	5	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	8	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,1,2,2-tetrachloorethaan	79-34-5	201-197-8	1122T4ClC2a	5	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	84	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,1,2-trichloorethaan	79-00-5	201-166-9	112TClC2a	6	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	1,02		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,1,2-trichloorethaan	79-00-5	201-166-9	112TClC2a	6	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	22	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,1,2-trichloorethaan	79-00-5	201-166-9	112TClC2a	6	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	300	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,1,2-trichloortrifluorethaan	76-13-1	200-936-1	CFK113	800	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MTR (opgelost)	3,7	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MTR	Maximaal toelaatbaar risiconiveau	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,1-dichloorethaan	75-34-3	200-863-5	11DClC2a	8	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,33		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,1-dichloorethaan	75-34-3	200-863-5	11DClC2a	8	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MTR (totaal)	700	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MTR	Maximaal toelaatbaar risiconiveau	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	P90	90-Percentiel			
1,1-dichlooretheen	75-35-4	200-864-0	11DClC2e	9	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,89		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,1-dichlooretheen	75-35-4	200-864-0	11DClC2e	9	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	9	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,1-dichlooretheen	75-35-4	200-864-0	11DClC2e	9	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	90	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2,3,4-tetrachloorbenzeen	634-66-2	211-214-0	1234T4ClBen	16	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	2,85		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2,3,5-tetrachloorbenzeen	634-90-2	211-217-7	1235T4ClBen	18	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	2,85		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2,3-trichloorpropaan	96-18-4	202-486-1	123TClC3a	27	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,2,4,5-tetrachloorbenzeen	95-94-3	202-466-2	1245T4ClBen	30	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	2,85		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2,5,6,9,10-hexabroomcyclododecaan	3194-55-6	221-695-9	HBCD	5725	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk JG-MKN (totaal)	0,0016	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	datum van realisatie van de milieukwaliteitseis: 22 december 2027				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,2,5,6,9,10-hexabroomcyclododecaan	3194-55-6	221-695-9	HBCD	5725	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk MAC-MKN (totaal)	0,5	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	datum van realisatie van de milieukwaliteitseis: 22 december 2027				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2-dibroom-3-chloorpropaan	96-12-8	202-479-3	12DBr3ClC3a	34	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR			NBV	Niet beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
1,2-dibroomethaan	106-93-4	203-444-5	12DBrC2a	1724	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,71		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2-dibroomethaan	106-93-4	203-444-5	12DBrC2a	1724	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	0,0033	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,2-dibroomethaan	106-93-4	203-444-5	12DBrC2a	1724	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	0,4	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2-dichloorbenzeen	95-50-1	202-425-9	12DClBen	35	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	1,71		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2-dichloorethaan	107-06-2	203-458-1	12DClC2a	36	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk JG-MKN (totaal)	10	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	datum van realisatie van de milieukwaliteitseis: 22 december 2015 				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,2-dichloorethaan	107-06-2	203-458-1	12DClC2a	36	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk MAC-MKN (totaal)			NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie	Niet van toepassing				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2-dichlooretheen (cis/trans-mengsel)	540-59-0	208-750-2	12DClC2e	37	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,68		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2-dichlooretheen (cis/trans-mengsel)	540-59-0	208-750-2	12DClC2e	37	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	6,8	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,2-dichlooretheen (cis/trans-mengsel)	540-59-0	208-750-2	12DClC2e	37	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)			BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Niet afgeleid, geen/onvoldoende gegevens.	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.			MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2-dichloorpropaan	78-87-5	201-152-2	12DClC3a	38	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,70		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
1,2-dichloorpropaan	78-87-5	201-152-2	12DClC3a	38	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk JG-MKN (totaal)	280	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie					JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
1,2-dichloorpropaan	78-87-5	201-152-2	12DClC3a	38	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk MAC-MKN (totaal)	1300	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie					MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
1,2-dichloorpropaan	78-87-5	201-152-2	12DClC3a	38	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (opgelost)	280	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
1,2-dichloorpropaan	78-87-5	201-152-2	12DClC3a	38	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (opgelost)	1300	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	MAX	Maximum			
1,2-ethaandiol	107-21-1	203-473-3	glycl	732	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief JG-MKN (opgelost)	200	mg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Vastgesteld door het ministerie van Infrastructuur en Waterstaat				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
